id,Scheme_Name,Description,Benefits,Eligibility_Criteria,Documents_Required,Application_Process,Caste,Income,Gender,State,District
1,Chief Minister Merit Award,"The ""Chief Minister Merit Award"" scheme launched on 7th May, 2012, by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, aims to support 1000 boys and 1000 girls belonging to the Adi Dravidar, Tribal, and Adi Dravidar converted to Christianity communities. These students are selected based on their marks in the plus 2 Public Examinations. Each selected student is awarded ₹3,000/- annually for five years, provided they continue their higher education.","Financial Support: ₹3,000/- per year for five consecutive years.","The beneficiary should be a resident of Tamil Nadu.
The beneficiary should belong to the Adi Dravidar/ Tribal/ Adi Dravidar converted to Christianity communities.
The beneficiary should have passed plus 2 Public Examination.
The beneficiary should be continuing their studies after plus 2 standards.","Proof of identity (Aadhar card or any other document as directed by the authority).
Caste certificate (Adi Dravidar/ Tribal/ Adi Dravidar converted to Christian).
Marksheet of plus 2 Public Examination.Proof of continuing education after 10th standard (admission or enrolment certificate).
Bank account details.
Any other documents (if required).","1.The interested applicant should collect the application form from the concerned educational institution.
2.In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
3.Submit the duly filled and signed application form along with the documents to the educational institution.
4.Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
",SC,0,Both,Tamil Nadu,For all TN districts
2,Chief Minister Merit Award,"The ""Chief Minister Merit Award"" scheme launched on 7th May, 2012, by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, aims to support 1000 boys and 1000 girls belonging to the Adi Dravidar, Tribal, and Adi Dravidar converted to Christianity communities. These students are selected based on their marks in the plus 2 Public Examinations. Each selected student is awarded ₹3,000/- annually for five years, provided they continue their higher education.","Financial Support: ₹3,000/- per year for five consecutive years.","The beneficiary should be a resident of Tamil Nadu.
The beneficiary should belong to the Adi Dravidar/ Tribal/ Adi Dravidar converted to Christianity communities.
The beneficiary should have passed plus 2 Public Examination.
The beneficiary should be continuing their studies after plus 2 standards.","Proof of identity (Aadhar card or any other document as directed by the authority).
Caste certificate (Adi Dravidar/ Tribal/ Adi Dravidar converted to Christian).
Marksheet of plus 2 Public Examination.Proof of continuing education after 10th standard (admission or enrolment certificate).
Bank account details.
Any other documents (if required).","1.The interested applicant should collect the application form from the concerned educational institution.
2.In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
3.Submit the duly filled and signed application form along with the documents to the educational institution.
4.Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).
",ST,0,Both,Tamil Nadu,For all TN districts
3,Government-Tuition Fee Concession,"The Government of Tamil Nadu provides a Tuition Fee Concession for students belonging to the Scheduled Castes (SC), Scheduled Tribes (ST), and Converted SC/ST Christians communities to promote higher education and alleviate financial barriers.",Tuition Fee Exemption: Eligible students are exempted from paying tuition fees in Government and Government-Aided institutions.,"1.Community: Applicants must belong to the SC, ST, or Converted SC/ST Christian communities.
2.Parental Annual Income: The annual income of the student's parents or guardians should not exceed ₹2,50,000.","1.Community Certificate – Proof of SC/ST status issued by a competent authority.
2.Income Certificate – Valid certificate stating the annual family income does not exceed ₹2,50,000.
3.Aadhaar Card – Copy of the student's Aadhaar card for identity verification.
4.Previous Academic Certificates – Mark sheets and certificates of the last qualified examination.
5.College Admission Proof – Bonafide certificate or admission letter from the educational institution.
6.Bank Account Details – Copy of the student's bank passbook showing account number, IFSC code, and other relevant details.
7.Fee Structure Details – Document from the institution specifying the tuition fees applicable","1.Obtain Application Form: Collect the tuition fee concession application form from the administrative office of the respective institution.
2.Complete the Form: Fill in the required personal, academic, and financial details accurately.
3.Attach Necessary Documents:
4.Community Certificate: Proof of SC/ST status issued by a competent authority.
5.Income Certificate: Valid income certificate demonstrating that the annual family income does not exceed ₹2,50,000.
6.Submission: Submit the completed application form along with the necessary documents to the scholarship section of the respective institution within the stipulated deadline.
7.Verification: The institution's administration will verify the submitted applications and process the tuition fee exemption accordingly.",SCC,250000,Male,Tamil Nadu,For all TN districts
4,Government-Tuition Fee Concession,"The Government of Tamil Nadu provides a Tuition Fee Concession for students belonging to the Scheduled Castes (SC), Scheduled Tribes (ST), and Converted SC/ST Christians communities to promote higher education and alleviate financial barriers.",Tuition Fee Exemption: Eligible students are exempted from paying tuition fees in Government and Government-Aided institutions.,"1.Community: Applicants must belong to the SC, ST, or Converted SC/ST Christian communities.
2.Parental Annual Income: The annual income of the student's parents or guardians should not exceed ₹2,50,000.","1.Community Certificate – Proof of SC/ST status issued by a competent authority.
2.Income Certificate – Valid certificate stating the annual family income does not exceed ₹2,50,000.
3.Aadhaar Card – Copy of the student's Aadhaar card for identity verification.
4.Previous Academic Certificates – Mark sheets and certificates of the last qualified examination.
5.College Admission Proof – Bonafide certificate or admission letter from the educational institution.
6.Bank Account Details – Copy of the student's bank passbook showing account number, IFSC code, and other relevant details.
7.Fee Structure Details – Document from the institution specifying the tuition fees applicable","1.Obtain Application Form: Collect the tuition fee concession application form from the administrative office of the respective institution.
2.Complete the Form: Fill in the required personal, academic, and financial details accurately.
3.Attach Necessary Documents:
4.Community Certificate: Proof of SC/ST status issued by a competent authority.
5.Income Certificate: Valid income certificate demonstrating that the annual family income does not exceed ₹2,50,000.
6.Submission: Submit the completed application form along with the necessary documents to the scholarship section of the respective institution within the stipulated deadline.
7.Verification: The institution's administration will verify the submitted applications and process the tuition fee exemption accordingly.",SC,250000,Male,Tamil Nadu,For all TN districts
7,Free Education (3 years UG Course in Govt. and Govt. Aided Colleges),The Backward Classes (BC) Free Education Scheme is a financial assistance program aimed at supporting students from BC communities pursuing a 3-year undergraduate degree in Government and Government-Aided Colleges in Tamil Nadu.,"Full tuition fee waiver
Exemption from special fees and examination fees
Financial relief for economically weaker students","1.Community: Must belong to the Backward Classes (BC), Most Backward Classes (MBC), or Denotified Communities (DNC).
2.Course Enrollment: Must be admitted to a 3-year UG degree course (B.A., B.Sc., B.Com.).
Institution Type: Should be studying in a Government or Government-Aided Arts and Science College.
3.Residential Status: Must be a resident of Tamil Nadu.
4.Annual Family Income: Should not exceed ₹2,00,000 per annum (may vary as per government norms).","1.Community Certificate (BC/MBC/DNC certificate issued by a competent authority)
2.Income Certificate (from the revenue department)
3.Aadhaar Card (or any government-issued ID proof)
4.Proof of Admission (college admission receipt)
5.Previous Academic Records (10th and 12th mark sheets)
6.Bank Account Details (student's bank passbook copy)
7.Domicile Certificate (residence proof of Tamil Nadu)
8.Ration Card Copy (if required for additional verification)","1.Get the Application Form:
-Available at the college administrative office.
-Downloadable from Tamil Nadu Backward Classes Welfare Department official website.
2.Fill in the Details:
-Enter personal, academic, and financial information carefully.
3.Attach the Required Documents:
-Ensure all documents are correctly attached and self-attested.
4.Submit to College Administration:
-Hand over the application form along with documents to the scholarship section of the college.
5.Verification Process:
-The college administration will verify and forward it to the concerned government department.
6.Approval & Disbursement:
-If approved, the fee waiver will be directly applied to the student's tuition and exam fees.",BC,200000,Male,Tamil Nadu,For all TN districts
8,Free Education (Diploma Course in Govt. and Govt. Aided Colleges),"The Backward Classes (BC) Free Education Scheme for Diploma Courses in Government and Government-Aided Colleges in Tamil Nadu aims to support BC students by waiving certain educational fees, thereby promoting higher education within these communities.","Fee Waiver: Eligible students receive waivers for tuition fees, special fees, and examination fees for diploma courses in Government and Government-Aided Colleges.","1.Community: Applicants must belong to the Backward Classes (BC), Most Backward Classes (MBC), or Denotified Communities (DNC).
2.Course Enrollment: Students should be enrolled in diploma courses in Government or Government-Aided Colleges.
3.Parental Annual Income: The annual income of the student's family should not exceed ₹2,00,000.","1.Community Certificate: Proof of belonging to BC/MBC/DNC, issued by a competent authority.
2.Income Certificate: Valid income certificate demonstrating that the annual family income does not exceed ₹2,00,000.
3.Admission Proof: College admission letter or current enrollment certificate.
4.Previous Academic Records: Mark sheets and certificates from prior educational qualifications.
5.Bank Account Details: For direct benefit transfer of the scholarship amount.","1.Obtain Application Form: Collect the scholarship application form from the administrative office of the respective college or download it from the official website of the Tamil Nadu Backward Classes, Most Backward Classes, and Minorities Welfare Department.
2.Complete the Form: Fill in the required personal, academic, and financial details accurately.
3.Attach Necessary Documents: Enclose all required documents as specified above.
4.Submission: Submit the completed application form along with the necessary documents to the scholarship section of the respective college within the stipulated deadline.
5.Verification: The college administration will verify the submitted applications and forward them to the concerned government department for further processing.
6.Approval and Disbursement: Upon successful verification, the scholarship benefits will be applied, covering the eligible fees as per the scheme guidelines.",BC,200000,Male,Tamil Nadu,For all TN districts
9,Free Education for Professional Courses in Govt. and Govt. Aided Colleges.,"The Backward Classes (BC) Free Education Scheme for Professional Courses in Government and Government-Aided Colleges in Tamil Nadu aims to support students from BC communities by waiving educational fees, thereby promoting higher education within these communities.","Fee Waiver: Eligible students receive waivers for tuition fees, special fees, and examination fees for professional courses in Government and Government-Aided Colleges.","1.Community: Applicants must belong to the Backward Classes (BC), Most Backward Classes (MBC), or Denotified Communities (DNC).
2.Course Enrollment: Students should be enrolled in professional courses in Government or Government-Aided Colleges.
3.Parental Annual Income: The annual income of the student's family should not exceed ₹2,00,000.","1.Community Certificate: Proof of belonging to BC/MBC/DNC, issued by a competent authority.
2.Income Certificate: Valid income certificate demonstrating that the annual family income does not exceed ₹2,00,000.
3.Admission Proof: College admission letter or current enrollment certificate.
4.Previous Academic Records: Mark sheets and certificates from prior educational qualifications.
5.Bank Account Details: For direct benefit transfer of the scholarship amount.","1.Obtain Application Form: Collect the scholarship application form from the administrative office of the respective college or download it from the official website of the Tamil Nadu Backward Classes, Most Backward Classes, and Minorities Welfare Department.
2.Complete the Form: Fill in the required personal, academic, and financial details accurately.
3.Attach Necessary Documents: Enclose all required documents as specified above.
4.Submission: Submit the completed application form along with the necessary documents to the scholarship section of the respective college within the stipulated deadline.
5.Verification: The college administration will verify the submitted applications and forward them to the concerned government department for further processing.
6.Approval and Disbursement: Upon successful verification, the scholarship benefits will be applied, covering the eligible fees as per the scheme guidelines.",BC,200000,Male,Tamil Nadu,For all TN districts
10,Free Education-professional courses in private colleges.,The Backward Classes (BC) Free Education Scheme for Professional Courses in Private Colleges is an initiative by the Government of Tamil Nadu to provide financial assistance to students from BC communities pursuing professional courses in private institutions. This scheme aims to promote higher education among these communities by alleviating financial burdens.,"Tuition Fee Waiver: Full exemption from tuition fees for eligible students.
Special Fee Coverage: Waiver of special fees as prescribed by the educational institution.
Examination Fee Coverage: Full reimbursement of examination fees.","1.Community: Applicants must belong to the Backward Classes (BC).
2.Course Enrollment: Students should be enrolled in professional courses such as Engineering, Medicine, Agriculture, Veterinary Science, or Law in private colleges.
3.Parental Annual Income: The annual income of the student's family should not exceed ₹1,00,000.","1.Community Certificate: Proof of belonging to BC.
2.Income Certificate: Valid income certificate demonstrating that the annual family income does not exceed ₹1,00,000.
3.Admission Proof: College admission letter or current enrollment certificate.
4.Previous Academic Records: Mark sheets and certificates from prior educational qualifications.
5.Bank Account Details: For direct benefit transfer of the scholarship amount.","1.Obtain Application Form: Collect the scholarship application form from the administrative office of the respective private college or download it from the official website of the Tamil Nadu Backward Classes, Most Backward Classes, and Minorities Welfare Department.
2.Complete the Form: Fill in the required personal, academic, and financial details accurately.
3.Attach Necessary Documents: Enclose all required documents as specified above.
4.Submission: Submit the completed application form along with the necessary documents to the scholarship section of the respective college within the stipulated deadline.
5.Verification: The college administration will verify the submitted applications and forward them to the concerned government department for further processing.
6.Approval and Disbursement: Upon successful verification, the scholarship amount covering the eligible fees will be disbursed directly to the student's bank account through Electronic Clearing Service (ECS).",BC,100000,Male,Tamil Nadu,For all TN districts
11,Post Matric Scholarship Scheme in Govt. and Govt. Aided colleges,The Backward Classes (BC) Post Matric Scholarship Scheme in Tamil Nadu provides financial assistance to BC students pursuing higher education in Government and Government-Aided colleges. This initiative aims to promote educational advancement among these communities by alleviating financial barriers.,"Tuition and Special Fee Coverage: Reimbursement of tuition and special fees as prescribed by the government. 
Examination Fee Coverage: Full reimbursement of examination fees. 
Book Allowance: Provision of book money as notified in the scholarship guidelines.","1.Community: Applicants must belong to the Backward Classes (BC).
2.Course Enrollment: Students should be pursuing ITI, Diploma, Undergraduate (UG), Postgraduate (PG), Professional, or Ph.D. courses in Government or Government-Aided colleges. 
3.Parental Annual Income: The annual income of the student's family should not exceed ₹2,50,000.","1.Community Certificate: Proof of belonging to the Backward Classes (BC).
2.Income Certificate: Valid income certificate demonstrating that the annual family income does not exceed ₹2,50,000.
3.Admission Proof: College admission letter or current enrollment certificate.
4.Previous Academic Records: Mark sheets and certificates from prior educational qualifications.
5.Bank Account Details: For direct benefit transfer of the scholarship amount.","1.Obtain Application Form: Collect the scholarship application form from the administrative office of the respective college or download it from the official website of the Tamil Nadu Backward Classes, Most Backward Classes, and Minorities Welfare Department. 
2.Complete the Form: Fill in the required personal, academic, and financial details accurately.
3.Attach Necessary Documents: Enclose all required documents as specified above.
4.Submission: Submit the completed application form along with the necessary documents to the scholarship section of the respective college within the stipulated deadline.
5.Verification: The college administration will verify the submitted applications and forward them to the concerned government department for further processing.
6.Approval and Disbursement: Upon successful verification, the scholarship amount covering the eligible fees will be disbursed directly to the student's bank account through Electronic Clearing Service (ECS).",BC,250000,Male,Tamil Nadu,For all TN districts
12,Post Matric Scholarship Scheme in Private colleges,The Backward Classes (BC) Post Matric Scholarship Scheme in Tamil Nadu aims to provide financial assistance to BC students pursuing higher education in private colleges. This initiative encourages students from these communities to continue their education without financial constraints.,"Tuition and Special Fee Coverage: Reimbursement of tuition and special fees as prescribed by the government. 
Examination Fee Coverage: Full reimbursement of examination fees. ","1.Community: Applicants must belong to the Backward Classes (BC).
2.Course Enrollment: Students should be pursuing ITI, Diploma, Undergraduate (UG), Postgraduate (PG), Professional, or Ph.D. courses in private colleges. 
3.Parental Annual Income: The annual income of the student's family should not exceed ₹2,50,000.","1.Community Certificate: Proof of belonging to the Backward Classes (BC).
2.Income Certificate: Valid income certificate demonstrating that the annual family income does not exceed ₹2,50,000.
3.Admission Proof: College admission letter or current enrollment certificate.
4.Previous Academic Records: Mark sheets and certificates from prior educational qualifications.
5.Bank Account Details: For direct benefit transfer of the scholarship amount.","1.Obtain Application Form: Collect the scholarship application form from the administrative office of the respective private college or download it from the official website of the Tamil Nadu Backward Classes, Most Backward Classes, and Minorities Welfare Department. 
2.Complete the Form: Fill in the required personal, academic, and financial details accurately.
3.Attach Necessary Documents: Enclose all required documents as specified above.
4.Submission: Submit the completed application form along with the necessary documents to the scholarship section of the respective college within the stipulated deadline.
5.Verification: The college administration will verify the submitted applications and forward them to the concerned government department for further processing.
6.Approval and Disbursement: Upon successful verification, the scholarship amount covering the eligible fees will be disbursed directly to the student's bank account through Electronic Clearing Service (ECS).",BC,250000,Male,Tamil Nadu,For all TN districts
